iter	Passed	Remaining
0	144	144778
1	150	74994
2	155	51834
3	160	40028
4	166	33061
5	171	28390
6	176	25052
7	181	22534
8	186	20583
9	191	18965
10	196	17698
11	201	16555
12	205	15608
13	210	14806
14	214	14110
15	218	13464
16	223	12913
17	228	12484
18	233	12030
19	237	11631
20	242	11285
21	247	10983
22	251	10687
23	256	10423
24	261	10203
25	266	9984
26	270	9762
27	276	9605
28	280	9403
29	285	9224
30	289	9062
31	294	8922
32	299	8773
33	304	8644
34	309	8535
35	314	8409
36	318	8296
37	323	8193
38	328	8087
39	332	7980
40	338	7906
41	343	7826
42	347	7733
43	351	7642
44	356	7570
45	361	7506
46	367	7458
47	373	7401
48	377	7325
49	381	7256
50	386	7195
51	391	7133
52	395	7075
53	400	7014
54	405	6970
55	410	6913
56	414	6859
57	419	6820
58	424	6767
59	428	6720
60	433	6672
61	438	6635
62	443	6588
63	447	6550
64	453	6518
65	458	6481
66	462	6441
67	467	6409
68	473	6383
69	478	6355
70	482	6318
71	488	6296
72	493	6260
73	498	6237
74	504	6219
75	509	6198
76	512	6142
77	518	6127
78	523	6105
79	528	6082
80	534	6066
81	539	6041
82	544	6016
83	550	6004
84	555	5978
85	560	5955
86	565	5937
87	570	5908
88	574	5879
89	579	5862
90	583	5831
91	588	5806
92	592	5778
93	597	5759
94	601	5731
95	606	5706
96	610	5686
97	615	5667
98	620	5643
99	624	5619
100	629	5601
101	633	5579
102	638	5556
103	642	5537
104	647	5518
105	652	5504
106	658	5493
107	663	5481
108	668	5467
109	674	5460
110	680	5451
111	685	5438
112	691	5430
113	697	5421
114	702	5406
115	709	5403
116	714	5389
117	719	5379
118	726	5375
119	730	5359
120	735	5343
121	740	5328
122	744	5309
123	748	5287
124	752	5268
125	756	5250
126	760	5229
127	765	5212
128	769	5194
129	774	5180
130	778	5163
131	782	5147
132	787	5135
133	791	5116
134	795	5100
135	799	5081
136	804	5067
137	808	5051
138	812	5033
139	817	5019
140	821	5004
141	825	4986
142	829	4969
143	833	4955
144	838	4941
145	842	4926
146	846	4910
147	850	4894
148	854	4879
149	858	4866
150	862	4850
151	866	4835
152	871	4824
153	875	4810
154	879	4797
155	884	4784
156	888	4773
157	892	4757
158	896	4742
159	901	4733
160	906	4725
161	911	4716
162	917	4711
163	922	4701
164	927	4691
165	932	4686
166	937	4676
167	941	4663
168	945	4650
169	950	4641
170	954	4628
171	959	4616
172	963	4606
173	967	4593
174	971	4580
175	975	4566
176	979	4555
177	983	4544
178	988	4532
179	992	4522
180	997	4514
181	1001	4503
182	1006	4492
183	1010	4482
184	1015	4471
185	1019	4459
186	1023	4449
187	1028	4441
188	1032	4429
189	1036	4418
190	1040	4406
191	1044	4397
192	1048	4384
193	1052	4374
194	1057	4364
195	1062	4356
196	1066	4345
197	1070	4336
198	1074	4324
199	1079	4317
200	1084	4310
201	1089	4303
202	1094	4298
203	1100	4294
204	1105	4287
205	1110	4281
206	1115	4274
207	1121	4268
208	1126	4262
209	1131	4256
210	1136	4251
211	1142	4245
212	1147	4240
213	1152	4233
214	1158	4231
215	1163	4224
216	1168	4217
217	1174	4212
218	1178	4204
219	1183	4197
220	1189	4191
221	1193	4183
222	1198	4174
223	1202	4165
224	1207	4158
225	1211	4148
226	1215	4138
227	1220	4130
228	1224	4122
229	1228	4112
230	1233	4106
231	1239	4101
232	1243	4093
233	1248	4087
234	1254	4082
235	1258	4075
236	1263	4067
237	1268	4061
238	1273	4055
239	1278	4048
240	1283	4041
241	1288	4035
242	1293	4031
243	1299	4025
244	1304	4021
245	1310	4016
246	1315	4009
247	1320	4002
248	1324	3994
249	1328	3986
250	1333	3980
251	1338	3972
252	1342	3964
253	1346	3955
254	1351	3948
255	1355	3940
256	1360	3932
257	1364	3925
258	1369	3917
259	1373	3909
260	1378	3901
261	1382	3895
262	1387	3887
263	1391	3879
264	1395	3871
265	1401	3866
266	1406	3860
267	1411	3854
268	1416	3848
269	1420	3840
270	1424	3832
271	1429	3826
272	1434	3818
273	1438	3810
274	1442	3804
275	1447	3797
276	1452	3790
277	1456	3783
278	1462	3778
279	1466	3770
280	1470	3762
281	1474	3755
282	1479	3748
283	1484	3741
284	1488	3734
285	1493	3728
286	1498	3723
287	1503	3715
288	1507	3708
289	1512	3702
290	1516	3694
291	1520	3686
292	1525	3680
293	1529	3672
294	1533	3665
295	1537	3657
296	1543	3652
297	1547	3644
298	1552	3639
299	1557	3634
300	1562	3627
301	1566	3619
302	1570	3612
303	1575	3607
304	1580	3600
305	1584	3593
306	1589	3587
307	1593	3580
308	1597	3573
309	1602	3565
310	1607	3560
311	1612	3554
312	1616	3547
313	1620	3540
314	1624	3533
315	1629	3526
316	1633	3518
317	1638	3513
318	1642	3505
319	1646	3498
320	1650	3490
321	1655	3485
322	1659	3478
323	1663	3471
324	1668	3465
325	1673	3459
326	1677	3452
327	1682	3446
328	1687	3441
329	1691	3434
330	1696	3428
331	1700	3422
332	1705	3417
333	1710	3410
334	1714	3403
335	1719	3398
336	1723	3391
337	1728	3385
338	1732	3378
339	1736	3371
340	1741	3364
341	1745	3358
342	1750	3352
343	1754	3346
344	1758	3339
345	1763	3332
346	1768	3327
347	1773	3321
348	1777	3315
349	1781	3309
350	1786	3302
351	1790	3295
352	1794	3289
353	1799	3284
354	1804	3279
355	1809	3272
356	1813	3267
357	1818	3260
358	1822	3254
359	1826	3247
360	1832	3243
361	1836	3237
362	1841	3230
363	1845	3224
364	1849	3218
365	1854	3211
366	1858	3205
367	1863	3200
368	1868	3194
369	1872	3188
370	1877	3183
371	1881	3176
372	1885	3169
373	1889	3161
374	1893	3155
375	1897	3148
376	1900	3140
377	1904	3133
378	1908	3126
379	1911	3119
380	1915	3112
381	1919	3104
382	1923	3099
383	1927	3091
384	1930	3084
385	1935	3078
386	1939	3072
387	1943	3065
388	1946	3058
389	1950	3051
390	1954	3044
391	1958	3038
392	1963	3032
393	1967	3025
394	1972	3021
395	1976	3014
396	1980	3008
397	1985	3002
398	1989	2996
399	1993	2990
400	1997	2984
401	2003	2979
402	2007	2974
403	2012	2968
404	2016	2962
405	2021	2957
406	2025	2951
407	2029	2945
408	2034	2940
409	2039	2934
410	2043	2928
411	2047	2922
412	2054	2920
413	2059	2915
414	2063	2909
415	2069	2904
416	2073	2898
417	2077	2893
418	2082	2888
419	2087	2882
420	2091	2876
421	2095	2870
422	2101	2866
423	2106	2861
424	2110	2855
425	2116	2851
426	2120	2845
427	2124	2839
428	2128	2833
429	2133	2828
430	2137	2822
431	2141	2816
432	2147	2811
433	2151	2805
434	2155	2799
435	2160	2794
436	2165	2789
437	2169	2783
438	2173	2777
439	2178	2772
440	2183	2767
441	2187	2760
442	2191	2755
443	2196	2750
444	2201	2745
445	2206	2740
446	2210	2734
447	2215	2729
448	2219	2723
449	2223	2717
450	2228	2712
451	2232	2707
452	2236	2701
453	2241	2695
454	2245	2690
455	2250	2685
456	2254	2679
457	2259	2674
458	2263	2668
459	2268	2662
460	2272	2657
461	2277	2652
462	2281	2646
463	2286	2640
464	2291	2636
465	2295	2630
466	2299	2624
467	2303	2618
468	2308	2613
469	2313	2608
